focus_type,Odur,Vdur,Cdur,Rdur,Sylldur,Wdur,O1Hexc,Fallexc,Nucleusfallexc,H_N2exc,pd,Pd_rime,Falldur,Risedur,Hf0_Ef0,L1_Hexc,O1f0_Ef0,L1f0_Ef0,L2f0_Ef0,Risesp,Fallsp
bro,0.110533124,-0.073600765,0.178854666,0.024464545,0.054114536,625,-0.064007714,-0.07177752,0.006405614,0.051033337,-0.14245241,0.46961326,-0.23792962,0.124699183,-0.135970891,-0.037620625,-0.071963177,-0.098350267,-0.064193371,-0.301691026,0.301675431
bro,0.018081122,-0.038709938,0.117407398,0.017784207,0.01793745,579,0.051047266,0.066352292,0.009320595,0.024903134,0.335002093,0.446124766,0.131590393,0.188919674,-0.206694164,0.118704187,-0.257741431,-0.325398352,-0.273046456,0.628331527,0.504233556
bro,-0.353205092,-0.045461255,0.232413577,0.069137954,-0.094150008,556,0.073250177,0.037357442,0.070131952,0.130339196,0.117061429,0.747252747,-0.229655469,0.271156996,0.03399914,0.077824021,-0.039251037,-0.04382488,-0.003358302,0.287007239,-0.16266733
bro,0.116802298,-0.110551828,0.10425844,-0.015506819,0.036852747,717,-0.011075178,-0.073869711,-0.035085979,0.033537097,0.055358668,0.935135135,-0.268716286,0.174749251,-0.212769271,-0.002308918,-0.201694093,-0.210460353,-0.13889956,-0.013212748,0.274898525
bro,-0.360694648,-0.089121701,0.173435627,0.026363061,-0.127930761,715,-0.072557029,0.077914972,-0.010594371,0.023298673,-0.003933252,0.945,0.205893383,0.138468293,0.025266932,0.009135579,0.097823961,0.016131353,-0.05264804,0.065975965,0.378423877
bro,-0.075867883,0.238406119,-0.405257534,0.033426664,-0.004848208,573,-0.092080192,0.018832458,0.003542899,0.020076341,-0.090451805,0.725961538,0.102869826,-0.027239909,-0.214783392,-0.058047289,-0.122703199,-0.156736103,-0.23361585,2.130964865,0.183070768
bro,-0.122438324,0.005297761,0.009021188,0.006790256,-0.04850384,640,0.032440164,0.37038823,0.063205942,-0.00788306,0.200803659,1.348837209,0.084293192,0.433427633,0.222098266,-0.024251232,0.189658101,0.246349497,-0.148289964,-0.055952205,4.394046766
bro,0.101754045,0.038583737,0.008950852,0.026368647,0.05534594,715,-0.163026091,0.360284151,-0.030360358,-0.086630135,0.160855457,0.791878173,-0.282013768,0.10608809,-0.061430069,0.015005281,0.101596021,-0.076435351,-0.42171422,0.141441714,-1.277540998
bro,-0.024767154,0.175696517,0.103187338,0.151068983,0.088573757,626,0.017667518,-0.034440201,-0.025776551,0.006762607,-0.02321551,0.663755459,0.172609298,0.085460431,-0.150339933,0.047480792,-0.168007452,-0.197820726,-0.115899732,0.555588028,-0.199526916
bro,0.073814283,0.128255442,0.361675972,0.219987045,0.160115731,663,-0.059529894,-0.077247383,0.011652117,-0.043636235,0.279646579,0.878378378,0.06458672,0.004931339,0.026612755,-0.055367891,0.086142649,0.081980646,0.103860138,-11.22776059,-1.196025789
bro,0.158379906,0.093154018,0.309611144,0.184992733,0.176039527,765,0.035949507,-0.033875616,0.020863887,0.009850898,0.116971457,0.857142857,0.225152203,-0.080896911,-0.224096794,-0.012378347,-0.260046301,-0.211718447,-0.190221178,0.15301384,-0.150456516
bro,0.900376899,-0.162217469,0.309913236,0.039550527,0.442553461,892,-0.047318025,0.030128,-0.13880617,-0.039062859,-0.098415181,0.427860697,0.422985649,0.262669557,-0.240149525,-0.055881921,-0.1928315,-0.184267604,-0.270277525,-0.21274609,0.071227003
bro,-0.089865335,-0.070614921,0.302113895,0.070275824,0.019066515,529,0.006555773,-0.094083468,-0.032007126,0.090820612,-0.112217075,0.467005076,-0.070116314,0.034024001,-0.102381218,-0.007267332,-0.108936991,-0.095113886,-0.00829775,-0.213594274,1.34181993
bro,0.237686324,0.43918635,0.654132334,0.549474671,0.422249358,814,-0.025306007,-0.521092075,0.020640706,0.283701137,0.231838292,0.641891892,-0.260757047,0.090046902,-0.085810822,-0.025688733,-0.060504814,-0.060122089,0.435281253,-0.2852817,1.99838156
bro,0.328414664,0.067897585,0.179450135,0.108610151,0.1796247,661,-0.001989951,0.237952672,0.016831232,0.018512428,-0.077875878,0.772020725,0.487207414,-0.127196316,-0.160543409,-0.003541622,-0.158553458,-0.157001787,-0.39849608,0.027843744,0.488401171
bro,-0.315241406,-0.097097469,0.474119277,0.134175029,-0.01311737,710,0.556573844,-0.065582964,-0.00818972,-0.052155734,0.125557312,0.869158879,0.109854478,-0.258353595,-0.071171621,-0.062998041,-0.627745465,-0.00817358,-0.005588657,0.243844258,-0.596998551
bro,-0.232981147,-0.101175687,0.151854629,-0.008295378,-0.096231558,720,0.036803563,-0.022403532,0.005661254,-0.004862164,-0.217050047,0.491620112,0.008033474,-0.2442378,-0.020724412,0.024700916,-0.057527975,-0.045425328,0.001679121,-0.101134699,-2.788772771
bro,0.25385524,-0.067170241,0.259026572,0.059516983,0.126439835,805,0.012014004,-0.050401921,0.055286484,-0.042336078,-0.044400769,0.732323232,0.042280793,0.279117009,-0.079310523,0.026609431,-0.091324526,-0.105919953,-0.028908602,0.095334322,-1.192076053
bro,0.160626154,0.062220331,-0.001771988,0.036950144,0.084456379,659,-0.026624857,-0.128014791,0.031604279,0.034085057,-0.683082478,0.172839506,0.185549338,-0.303734829,-0.244065423,-0.0728767,-0.217440566,-0.171188723,-0.116050632,0.239935275,-0.689923188
bro,0.175906686,-0.061951137,0.26950872,0.079019634,0.115293171,742,0.054449894,0.002072949,0.000434643,0.002121024,0.065074411,0.885416667,0.312564235,0.08271509,-0.014786529,0.002323611,-0.069236423,-0.01711014,-0.016859477,0.028091747,0.006632072
