"tone","language","session","id","isi","speaker","vowel_vari","informant","token","syllable","onset","offset","f0mean","excursion","maxloc"
21,"md","128_2",45,"long","ds","sv",128,1,"maa",0.0282050586364849,0.0280547553488345,-0.0472234979580297,0.160019209950173,0.125
241,"md","128_2",46,"long","ds","sv",128,1,"maa",-0.12596795663755,0.045940819637331,0.017465529128861,0.217177908699975,0.5
21,"md","128_2",47,"long","ds","sv",128,1,"maa",-0.00094287151101779,-0.182637937935027,-0.127477610383205,0.187722119092394,0.125
33,"md","128_2",48,"long","ds","sv",128,1,"maa",-0.0128492469545352,-0.0278915621951334,-0.0312518588798887,0.0871423497094672,0.5
45,"md","128_2",49,"long","ds","sv",128,1,"maa",-0.00786406330227998,0.161046073442328,0.0124397873509628,0.237004017435897,1
315,"md","128_2",50,"long","ds","sv",128,1,"maa",-0.0428510495251586,0.10135667677035,-0.132927064392511,0.579451893585594,1
21,"md","128_2",51,"long","ds","dv",128,1,"maa",-0.0529176963205987,-0.198520782680758,-0.114655239197951,0.150028835555528,0.25
45,"md","128_2",52,"long","ds","dv",128,1,"mii",-0.00280126312038739,0.286078416843805,0.114829681002422,0.288879679964192,1
241,"md","128_2",53,"long","ds","dv",128,1,"maa",0.112880598030649,0.0238875474762258,0.0375519929881694,0.219046945060107,0.375
33,"md","128_2",54,"long","ds","dv",128,1,"mii",0.0641020028277201,-0.0564255639798197,0.0101331860640741,0.175734525485657,0.25
45,"md","128_2",55,"long","ds","dv",128,1,"maa",-0.00179224591003965,0.119367472009298,0.00864347553477945,0.176125743716835,1
21,"md","128_2",56,"long","ds","dv",128,1,"mii",-0.000753023231596209,-0.155024550616913,-0.0745450144504761,0.155872359448696,0.25
315,"md","128_2",57,"long","ds","dv",128,1,"mii",0.0455688149206653,0.382388966615551,0.0811974236392783,0.427479928889313,1
241,"md","128_2",58,"long","ds","dv",128,1,"mii",0.0668166787347348,-0.0419148456228642,0.0904850599251329,0.223749804527307,0.375
33,"md","128_2",59,"long","ds","dv",128,1,"maa",-7.87053384261284e-05,-0.0842172399044151,-0.0589201049786916,0.15786090203176,0.125
315,"md","128_2",60,"long","ds","dv",128,1,"maa",-0.0576501807333059,0.10776354195982,-0.0755420615795848,0.31221536435568,1
33,"md","128_2",61,"long","ss","sv",128,2,"maa",0.0161052915644853,-0.514466483844098,-0.131216923891915,0.530571775408584,0.125
33,"md","128_2",62,"long","ss","sv",128,1,"maa",0.0348494372534857,-0.0859982480241738,-0.0248718646036902,0.149783626995894,0.125
45,"md","128_2",63,"long","ss","sv",128,1,"maa",0.00877907418203346,0.159529743566875,0.0310979165655871,0.211625255094086,0.875
21,"md","128_2",64,"long","ss","sv",128,2,"maa",0.0171618310972241,-0.03931458418229,-0.0435006580984378,0.133851912519726,0.125
45,"md","128_2",65,"long","ss","sv",128,2,"maa",-0.0327048984280161,0.128008668458575,0.00718888580178127,0.192350738105437,1
21,"md","128_2",66,"long","ss","sv",128,1,"maa",-0.0197299744148102,0.0134873890613784,-0.0576977191057438,0.143859495368335,1
241,"md","128_2",67,"long","ss","sv",128,1,"maa",0.0621788169811465,-0.492104038373213,-0.0990289772062087,0.575915791630768,0.25
241,"md","128_2",68,"long","ss","sv",128,2,"maa",-0.0323941415209714,0.0223490549071671,-0.0521713737232723,0.148988719570359,1
315,"md","128_2",69,"long","ss","sv",128,2,"maa",-0.00484380915081825,0.214853858241504,0.0150875589153887,0.345883411768536,1
315,"md","128_2",70,"long","ss","sv",128,1,"maa",-0.0225440539093445,0.229304245012479,-0.013131111107274,0.395222152159126,1
21,"md","128_2",71,"long","ss","sv",128,1,"mii",0.02720478743316,-0.146047636038899,-0.0692697732107235,0.214377649468166,0.125
45,"md","128_2",72,"long","ss","sv",128,2,"mii",-0.0150572518669183,0.32307087974507,0.11603732123254,0.364957085259016,0.875
45,"md","128_2",73,"long","ss","sv",128,1,"mii",0.0192825037833054,0.358538299846252,0.114612797696733,0.368472684367045,1
21,"md","128_2",74,"long","ss","sv",128,2,"mii",0.00565105823705382,-0.310880153491875,-0.0811992874906119,0.325521887782883,0.25
315,"md","128_2",75,"long","ss","sv",128,2,"mii",0.0185792888534573,0.395930182975948,0.100033002120179,0.512729556644657,0.875
315,"md","128_2",76,"long","ss","sv",128,1,"mii",-0.307301369189645,0.517917222786924,0.0845114584698518,0.825218591976569,1
241,"md","128_2",77,"long","ss","sv",128,2,"mii",0.0650894157270973,-0.076625129715882,0.0408967016322845,0.192118617064102,0.5
33,"md","128_2",78,"long","ss","sv",128,2,"mii",-0.00150096632762472,-0.255340651281629,-0.0507435337994492,0.258000517831827,0.5
33,"md","128_2",79,"long","ss","sv",128,1,"mii",-0.234952828366139,-0.248412139658219,-0.0445463440984826,0.32836354099541,0.25
241,"md","128_2",80,"long","ss","sv",128,1,"mii",0.0808815938778443,0.0276345012470417,0.0801657944579377,0.23072083866905,0.5
45,"md","130_1",1,"short","ss","dv",130,2,"mii",-0.0842253980467944,-0.120297028746134,0.0116982339703443,0.397547044321066,0.875
241,"md","130_1",2,"short","ss","dv",130,2,"maa",0.0106199133018996,-0.173494479288635,-0.0628170458672768,0.195667126516098,0.375
33,"md","130_1",3,"short","ss","dv",130,2,"maa",0.040042010686825,-0.0837743507450094,0.0239844018560785,0.151263612078626,0.5
33,"md","130_1",4,"short","ss","dv",130,2,"mii",0.0393204696059214,-0.153530610899411,-0.00306399056104588,0.211853498031272,0.5
21,"md","130_1",5,"short","ss","dv",130,2,"maa",0.0436983076546062,-0.168588134996732,-0.105793818319011,0.240206223325371,0.125
21,"md","130_1",6,"short","ss","dv",130,2,"mii",0.0407267678607597,-0.110147421263298,-0.0583387364656891,0.169284539760494,0.125
45,"md","130_1",7,"short","ss","dv",130,2,"maa",-0.120288501016966,0.292042317301491,0.0248482011073843,0.412330818318457,1
315,"md","130_1",8,"short","ss","dv",130,2,"mii",-0.0620456851464842,0.0558644348272628,0.0283603099807027,0.327114403991759,0.75
241,"md","130_1",9,"short","ss","dv",130,2,"mii",0.0310375428165914,0.0254506901815154,0.0279105248181975,0.279762635376266,0.25
315,"md","130_1",10,"short","ss","dv",130,2,"maa",-0.112755415781605,0.165825400704553,0.0300256393699894,0.302190222094306,0.75
45,"md","130_1",11,"short","ss","sv",130,2,"mii",-0.0608111222449511,0.172548663573397,0.0628888309179356,0.311167737005191,0.875
315,"md","130_1",12,"short","ss","sv",130,1,"mii",-0.0804937616291074,-0.585591827934961,-0.016770696812079,0.97180893782959,0.875
33,"md","130_1",13,"short","ss","sv",130,2,"mii",-0.204024014608297,-0.0113515521171801,-0.0124368341479607,0.277020997286763,0.375
315,"md","130_1",14,"short","ss","sv",130,2,"mii",-0.0735166850541882,0.233060569452702,0.0220769008422737,0.30657725450689,1
45,"md","130_1",15,"short","ss","sv",130,1,"mii",-0.195424779575032,0.287224085764782,0.088608673316478,0.575050153337088,0.875
241,"md","130_1",16,"short","ss","sv",130,1,"mii",-0.336764114581564,-0.166028767897503,-0.0329329294844258,0.483772239972115,0.5
33,"md","130_1",17,"short","ss","sv",130,1,"mii",-0.468393970986657,0.0275947469617653,-0.0268317101217157,0.545293469732028,0.375
21,"md","130_1",18,"short","ss","sv",130,2,"mii",-0.0279842359612839,-0.541669610315537,-0.120108289122746,0.536554447091037,0.25
241,"md","130_1",19,"short","ss","sv",130,2,"mii",0.0500040329348502,-0.551689988747681,-0.114085880382576,0.693743338949282,0.375
21,"md","130_1",20,"short","ss","sv",130,1,"mii",-0.0418911902937688,-0.162928985806026,-0.098336135544401,0.134239579112545,0.25
21,"md","130_1",21,"short","ds","sv",130,1,"mii",-0.0657839355702356,-0.485960368521366,-0.123872340481417,0.462620827886506,0.25
315,"md","130_1",22,"short","ds","sv",130,1,"mii",-0.00603497886253147,0.463756213235677,0.154478905657549,0.505373014381714,1
315,"md","130_1",23,"short","ds","sv",130,1,"mii",-0.0339378929328565,0.0698484482200297,-0.0566266589379175,0.193514287147213,1
33,"md","130_1",24,"short","ds","sv",130,1,"mii",-0.372111358946956,0.0458346439485571,0.00330643942572172,0.451682008729717,0.625
21,"md","130_1",25,"short","ds","sv",130,1,"mii",-0.0474720134725067,-0.151608612318609,-0.0702750514822112,0.122158862483912,0.25
33,"md","130_1",26,"short","ds","sv",130,1,"mii",0.0164229824035245,-0.0451810900017625,0.0279194179718372,0.109052267204378,0.375
45,"md","130_1",27,"short","ds","sv",130,1,"mii",-0.0519140588577172,0.137375782960083,0.0874718182254713,0.286903154566906,0.875
241,"md","130_1",28,"short","ds","sv",130,1,"mii",0.0564869093377338,0.121030308151274,0.149265025947272,0.130292156846702,0.375
45,"md","130_1",29,"short","ds","sv",130,1,"mii",-0.0949236531898456,0.140413255004575,0.049815659973381,0.332351855858539,0.875
241,"md","130_1",30,"short","ds","sv",130,1,"mii",0.120647368308731,-0.102148709614643,0.05313966613293,0.377043193104881,0.375
21,"md","130_1",31,"short","ss","sv",130,2,"maa",-0.176795670047323,-0.188467030679645,-0.123482433556605,0.182148355883796,0.25
33,"md","130_1",32,"short","ss","sv",130,2,"maa",-0.0473445080730323,-0.187810014173902,-0.0579080575415453,0.198766285565821,0.5
21,"md","130_1",33,"short","ss","sv",130,1,"maa",-0.0651216741937717,-0.221761926554117,-0.134828199816773,0.172501981885274,0.25
45,"md","130_1",34,"short","ss","sv",130,2,"maa",-0.0866272960222723,0.273391224428065,0.0495239877530851,0.393508962679146,0.875
241,"md","130_1",35,"short","ss","sv",130,1,"maa",-0.0157687136068876,-0.240083297058132,-0.0543053840279232,0.338236245297885,0.375
315,"md","130_1",36,"short","ss","sv",130,1,"maa",-0.0879018294420965,0.258522923500763,0.00530610419949593,0.375124567438936,1
33,"md","130_1",37,"short","ss","sv",130,1,"maa",0.0160661493435166,-0.0904753880569685,0.00152442444814342,0.134564643389232,0.625
315,"md","130_1",38,"short","ss","sv",130,2,"maa",-0.0905008622563213,0.339690926432129,0.0380339818690692,0.450463557891212,1
241,"md","130_1",39,"short","ss","sv",130,2,"maa",-0.0158211066563419,-0.168576178018018,-0.0627964191055142,0.210706029522674,0.375
45,"md","130_1",40,"short","ss","sv",130,1,"maa",-0.0852399193116204,0.216111243033213,0.0421707868542173,0.339921608970142,0.875
241,"md","130_1",41,"short","ss","dv",130,1,"maa",-0.427060288391526,-0.0112334191320886,-0.0197945470560682,0.549622103916553,0.375
33,"md","130_1",42,"short","ss","dv",130,1,"maa",-0.0136432569862843,-0.150143382730088,-0.0183613073702113,0.191792911055451,0.625
45,"md","130_1",43,"short","ss","dv",130,1,"maa",-0.044899983789865,0.357430670635644,0.0991878446233993,0.409266946525864,1
45,"md","130_1",44,"short","ss","dv",130,1,"mii",-0.0508956844688097,-0.288123051847575,0.00803111580809234,0.474307015484492,0.875
33,"md","130_1",45,"short","ss","dv",130,1,"mii",0.00632239343814212,-0.0721399060464743,-0.014527635360487,0.134503326023397,0.5
315,"md","130_1",46,"short","ss","dv",130,1,"mii",-0.0484787986873114,0.0715888617928655,-0.05782598375245,0.280237716378112,1
315,"md","130_1",47,"short","ss","dv",130,1,"maa",-0.0890858453131313,0.0640315287875498,-0.0425404730784481,0.213786030573063,0.875
21,"md","130_1",48,"short","ss","dv",130,1,"maa",0.0208539600940542,-0.141147028717059,-0.0639536744494313,0.207473441578927,0.25
21,"md","130_1",49,"short","ss","dv",130,1,"mii",0.0401311545745459,-0.565091352334576,-0.109584469918431,0.605222506909122,0.125
241,"md","130_1",50,"short","ss","dv",130,1,"mii",0.00189202457684318,0.0299717693046738,0.0848415764599411,0.16729275983151,0.5
21,"md","130_1",51,"short","ds","dv",130,1,"mii",0.0381632782065272,-0.0310469835336061,-0.0230367178018276,0.143808323088637,0.25
315,"md","130_1",52,"short","ds","dv",130,1,"maa",-0.0788974585263176,0.316409669413712,0.0234674981437709,0.432372296214065,1
21,"md","130_1",53,"short","ds","dv",130,1,"maa",-0.0116081161536948,-0.16909059906888,-0.101175254508576,0.179371486658867,0.25
33,"md","130_1",54,"short","ds","dv",130,1,"mii",-0.00198667161752195,-0.397398930485977,-0.0491749067566272,0.429466787129083,0.375
45,"md","130_1",55,"short","ds","dv",130,1,"mii",-0.0907003612289045,-0.359539428090367,0.0276545575221037,0.782045690303643,0.875
241,"md","130_1",56,"short","ds","dv",130,1,"maa",-0.123327884042151,-0.20191087899387,-0.0219633889422818,0.349950849171934,0.375
45,"md","130_1",57,"short","ds","dv",130,1,"maa",-0.0476495598079046,0.182305708633288,0.0578600651722602,0.341590487260237,0.875
241,"md","130_1",58,"short","ds","dv",130,1,"mii",0.0957099773795132,-0.0648454811627432,0.0885384993559943,0.253121683122386,0.375
315,"md","130_1",59,"short","ds","dv",130,1,"mii",-0.0059364858618094,0.0457736165798548,0.0941543669633652,0.442934463690626,0.875
