Item no.,Condition,Vowel pair,Tone_contrast,speakerA,syllable,tone,token,filenameA,speakerX,syllable,tone,token,filenameX,block_con,block_no
129,AB,i-i,33-45,F4,mii,33,1,Thai_F4_mii33-1,F4,mii,45,1,Thai_F4_mii45-1,block3b,9
130,BA,i-i,33-45,F4,mii,45,1,Thai_F4_mii45-1,F4,mii,33,1,Thai_F4_mii33-1,block3b,10
131,AA,i-i,33-45,F4,mii,33,1,Thai_F4_mii33-1,F4,mii,33,2,Thai_F4_mii33-2,block3b,11
132,BB,i-i,33-45,F4,mii,45,1,Thai_F4_mii45-1,F4,mii,45,2,Thai_F4_mii45-2,block3b,12
133,AB,i-i,315-45,F4,mii,315,2,Thai_F4_mii315-2,F4,mii,45,2,Thai_F4_mii45-2,block3b,13
134,BA,i-i,315-45,F4,mii,45,2,Thai_F4_mii45-2,F4,mii,315,2,Thai_F4_mii315-2,block3b,14
135,AA,i-i,315-45,F4,mii,315,2,Thai_F4_mii315-2,F4,mii,315,1,Thai_F4_mii315-1,block3b,15
136,BB,i-i,315-45,F4,mii,45,2,Thai_F4_mii45-2,F4,mii,45,1,Thai_F4_mii45-1,block3b,16
137,AB,i-i,33-241,F4,mii,33,2,Thai_F4_mii33-2,F4,mii,241,2,Thai_F4_mii241-2,block3b,17
138,BA,i-i,33-241,F4,mii,241,2,Thai_F4_mii241-2,F4,mii,33,2,Thai_F4_mii33-2,block3b,18
139,AA,i-i,33-241,F4,mii,33,2,Thai_F4_mii33-2,F4,mii,33,1,Thai_F4_mii33-1,block3b,19
140,BB,i-i,33-241,F4,mii,241,2,Thai_F4_mii241-2,F4,mii,241,1,Thai_F4_mii241-1,block3b,20
141,AB,i-i,33-45,F4,mii,33,2,Thai_F4_mii33-2,F4,mii,45,2,Thai_F4_mii45-2,block3b,21
142,BA,i-i,33-45,F4,mii,45,2,Thai_F4_mii45-2,F4,mii,33,2,Thai_F4_mii33-2,block3b,22
143,AA,i-i,33-45,F4,mii,33,2,Thai_F4_mii33-2,F4,mii,33,1,Thai_F4_mii33-1,block3b,23
144,BB,i-i,33-45,F4,mii,45,2,Thai_F4_mii45-2,F4,mii,45,1,Thai_F4_mii45-1,block3b,24
145,AB,a-i,315-45,F4,maa,315,1,Thai_F4_maa315-1,F4,mii,45,1,Thai_F4_mii45-1,block4a,1
146,BA,a-i,315-45,F4,maa,45,1,Thai_F4_maa45-1,F4,mii,315,1,Thai_F4_mii315-1,block4a,2
147,AA,a-i,315-45,F4,maa,315,1,Thai_F4_maa315-1,F4,mii,315,1,Thai_F4_mii315-1,block4a,3
148,BB,a-i,315-45,F4,maa,45,1,Thai_F4_maa45-1,F4,mii,45,1,Thai_F4_mii45-1,block4a,4
149,AB,a-i,33-241,F4,maa,33,1,Thai_F4_maa33-1,F4,mii,241,1,Thai_F4_mii241-1,block4a,5
150,BA,a-i,33-241,F4,maa,241,1,Thai_F4_maa241-1,F4,mii,33,1,Thai_F4_mii33-1,block4a,6
151,AA,a-i,33-241,F4,maa,33,1,Thai_F4_maa33-1,F4,mii,33,1,Thai_F4_mii33-1,block4a,7
152,BB,a-i,33-241,F4,maa,241,1,Thai_F4_maa241-1,F4,mii,241,1,Thai_F4_mii241-1,block4a,8
153,AB,a-i,33-45,F4,maa,33,1,Thai_F4_maa33-1,F4,mii,45,1,Thai_F4_mii45-1,block4a,9
154,BA,a-i,33-45,F4,maa,45,1,Thai_F4_maa45-1,F4,mii,33,1,Thai_F4_mii33-1,block4a,10
155,AA,a-i,33-45,F4,maa,33,1,Thai_F4_maa33-1,F4,mii,33,1,Thai_F4_mii33-1,block4a,11
156,BB,a-i,33-45,F4,maa,45,1,Thai_F4_maa45-1,F4,mii,45,1,Thai_F4_mii45-1,block4a,12
157,AB,a-i,315-45,F4,maa,315,2,Thai_F4_maa315-2,F4,mii,45,2,Thai_F4_mii45-2,block4a,13
158,BA,a-i,315-45,F4,maa,45,2,Thai_F4_maa45-2,F4,mii,315,2,Thai_F4_mii315-2,block4a,14
159,AA,a-i,315-45,F4,maa,315,2,Thai_F4_maa315-2,F4,mii,315,2,Thai_F4_mii315-2,block4a,15
160,BB,a-i,315-45,F4,maa,45,2,Thai_F4_maa45-2,F4,mii,45,2,Thai_F4_mii45-2,block4a,16
161,AB,a-i,33-241,F4,maa,33,2,Thai_F4_maa33-2,F4,mii,241,2,Thai_F4_mii241-2,block4a,17
162,BA,a-i,33-241,F4,maa,241,2,Thai_F4_maa241-2,F4,mii,33,2,Thai_F4_mii33-2,block4a,18
163,AA,a-i,33-241,F4,maa,33,2,Thai_F4_maa33-2,F4,mii,33,2,Thai_F4_mii33-2,block4a,19
164,BB,a-i,33-241,F4,maa,241,2,Thai_F4_maa241-2,F4,mii,241,2,Thai_F4_mii241-2,block4a,20
165,AB,a-i,33-45,F4,maa,33,2,Thai_F4_maa33-2,F4,mii,45,2,Thai_F4_mii45-2,block4a,21
166,BA,a-i,33-45,F4,maa,45,2,Thai_F4_maa45-2,F4,mii,33,2,Thai_F4_mii33-2,block4a,22
167,AA,a-i,33-45,F4,maa,33,2,Thai_F4_maa33-2,F4,mii,33,2,Thai_F4_mii33-2,block4a,23
168,BB,a-i,33-45,F4,maa,45,2,Thai_F4_maa45-2,F4,mii,45,2,Thai_F4_mii45-2,block4a,24
169,AB,i-a,315-45,F4,mii,45,1,Thai_F4_mii45-1,F4,maa,315,1,Thai_F4_maa315-1,block4b,1
170,BA,i-a,315-45,F4,mii,315,1,Thai_F4_mii315-1,F4,maa,45,1,Thai_F4_maa45-1,block4b,2
171,AA,i-a,315-45,F4,mii,315,1,Thai_F4_mii315-1,F4,maa,315,1,Thai_F4_maa315-1,block4b,3
172,BB,i-a,315-45,F4,mii,45,1,Thai_F4_mii45-1,F4,maa,45,1,Thai_F4_maa45-1,block4b,4
173,AB,i-a,33-241,F4,mii,241,1,Thai_F4_mii241-1,F4,maa,33,1,Thai_F4_maa33-1,block4b,5
174,BA,i-a,33-241,F4,mii,33,1,Thai_F4_mii33-1,F4,maa,241,1,Thai_F4_maa241-1,block4b,6
175,AA,i-a,33-241,F4,mii,33,1,Thai_F4_mii33-1,F4,maa,33,1,Thai_F4_maa33-1,block4b,7
176,BB,i-a,33-241,F4,mii,241,1,Thai_F4_mii241-1,F4,maa,241,1,Thai_F4_maa241-1,block4b,8
177,AB,i-a,33-45,F4,mii,45,1,Thai_F4_mii45-1,F4,maa,33,1,Thai_F4_maa33-1,block4b,9
178,BA,i-a,33-45,F4,mii,33,1,Thai_F4_mii33-1,F4,maa,45,1,Thai_F4_maa45-1,block4b,10
179,AA,i-a,33-45,F4,mii,33,1,Thai_F4_mii33-1,F4,maa,33,1,Thai_F4_maa33-1,block4b,11
180,BB,i-a,33-45,F4,mii,45,1,Thai_F4_mii45-1,F4,maa,45,1,Thai_F4_maa45-1,block4b,12
181,AB,i-a,315-45,F4,mii,45,2,Thai_F4_mii45-2,F4,maa,315,2,Thai_F4_maa315-2,block4b,13
182,BA,i-a,315-45,F4,mii,315,2,Thai_F4_mii315-2,F4,maa,45,2,Thai_F4_maa45-2,block4b,14
183,AA,i-a,315-45,F4,mii,315,2,Thai_F4_mii315-2,F4,maa,315,2,Thai_F4_maa315-2,block4b,15
184,BB,i-a,315-45,F4,mii,45,2,Thai_F4_mii45-2,F4,maa,45,2,Thai_F4_maa45-2,block4b,16
185,AB,i-a,33-241,F4,mii,241,2,Thai_F4_mii241-2,F4,maa,33,2,Thai_F4_maa33-2,block4b,17
186,BA,i-a,33-241,F4,mii,33,2,Thai_F4_mii33-2,F4,maa,241,2,Thai_F4_maa241-2,block4b,18
187,AA,i-a,33-241,F4,mii,33,2,Thai_F4_mii33-2,F4,maa,33,2,Thai_F4_maa33-2,block4b,19
188,BB,i-a,33-241,F4,mii,241,2,Thai_F4_mii241-2,F4,maa,241,2,Thai_F4_maa241-2,block4b,20
189,AB,i-a,33-45,F4,mii,45,2,Thai_F4_mii45-2,F4,maa,33,2,Thai_F4_maa33-2,block4b,21
