"id","F0","subject","language","Timepoint","tone","syllable","normF0"
"62",233.468787820621,"125","md",2,"M55","mi",0.109990081395352
"62",252.424495929795,"125","md",3,"M55","mi",0.198162055297686
"62",255.491538766054,"125","md",4,"M55","mi",0.212428323767237
"62",256.398700740757,"125","md",5,"M55","mi",0.216647963650806
"62",255.852993667272,"125","md",6,"M55","mi",0.214109621660913
"62",254.411562339014,"125","md",7,"M55","mi",0.207404842038585
"62",256.359107497005,"125","md",8,"M55","mi",0.216463796726798
"62",256.797170229472,"125","md",9,"M55","mi",0.218501433917256
"62",272.12866002985,"125","md",10,"M55","mi",0.289815452405887
"63",168.615633913814,"125","md",1,"M214","mi",-0.191672645252538
"63",86.911994576903,"125","md",2,"M214","mi",-0.571714958304044
"63",86.5348738115899,"125","md",3,"M214","mi",-0.573469125549377
"63",80.295546544598,"125","md",4,"M214","mi",-0.602491190976047
"63",111.589193768757,"125","md",5,"M214","mi",-0.456929620262581
"63",227.871083274341,"125","md",6,"M214","mi",0.0839525070496761
"63",203.227198720326,"125","md",7,"M214","mi",-0.0306778688367878
"63",218.569384919637,"125","md",8,"M214","mi",0.0406859036680045
"63",184.996708213454,"125","md",9,"M214","mi",-0.115476512281857
"63",219.644120529521,"125","md",10,"M214","mi",0.0456850078745502
"64",239.241984302805,"125","md",1,"M51","mi",0.136843951829969
"64",234.453182420787,"125","md",2,"M51","mi",0.114568966789429
"64",266.80272683127,"125","md",3,"M51","mi",0.265042015281505
"64",283.621151912183,"125","md",4,"M51","mi",0.34327247382053
"64",287.22421296767,"125","md",5,"M51","mi",0.360032016831175
"64",272.080626093322,"125","md",6,"M51","mi",0.289592023823131
"64",240.898998212497,"125","md",7,"M51","mi",0.144551508116428
"64",200.58287160064,"125","md",8,"M51","mi",-0.042977886353586
"64",204.162312662504,"125","md",9,"M51","mi",-0.0263282111172986
"64",231.520592984123,"125","md",10,"M51","mi",0.100928104744783
"1",184.069640831478,"211","nv",1,"NV22","ma",-0.0341096164539127
"1",106.877679928035,"211","nv",2,"NV22","ma",-0.432811670665945
"1",130.717034691056,"211","nv",3,"NV22","ma",-0.309679681222185
"1",165.121284765734,"211","nv",4,"NV22","ma",-0.13197924431326
"1",160.766110187501,"211","nv",5,"NV22","ma",-0.154474035616276
"1",156.654964845294,"211","nv",6,"NV22","ma",-0.175708398287182
"1",154.116120476178,"211","nv",7,"NV22","ma",-0.188821712853157
"1",153.151921292826,"211","nv",8,"NV22","ma",-0.193801871286402
"1",153.559022947359,"211","nv",9,"NV22","ma",-0.191699161832775
"1",151.358229936549,"211","nv",10,"NV22","ma",-0.203066416713152
"2",167.335058403881,"211","nv",1,"NV415","ma",-0.120544943555004
"2",131.774601157582,"211","nv",2,"NV415","ma",-0.304217274026735
"2",88.8715381292361,"211","nv",3,"NV415","ma",-0.525814693773418
"2",91.1037659446818,"211","nv",4,"NV415","ma",-0.514285075856331
"2",82.3328729920319,"211","nv",5,"NV415","ma",-0.559587371543178
"2",80.4861924678043,"211","nv",6,"NV415","ma",-0.569125609850194
"2",187.877861207441,"211","nv",7,"NV415","ma",-0.0144398831161648
"2",251.897271735841,"211","nv",8,"NV415","ma",0.316224996858111
"2",256.114022928511,"211","nv",9,"NV415","ma",0.33800482137535
"2",256.533765846712,"211","nv",10,"NV415","ma",0.340172823868994
"3",217.357822098114,"211","nv",1,"NV35","ma",0.137826244439576
"3",179.150574486163,"211","nv",2,"NV35","ma",-0.059516949467979
"3",171.420280580242,"211","nv",3,"NV35","ma",-0.0994444759083133
"3",167.692427785264,"211","nv",4,"NV35","ma",-0.118699104884726
"3",157.880019938409,"211","nv",5,"NV35","ma",-0.169380900236459
"3",157.251541300073,"211","nv",6,"NV35","ma",-0.172627037803125
"3",165.043716749599,"211","nv",7,"NV35","ma",-0.132379888719906
"3",190.377287914212,"211","nv",8,"NV35","ma",-0.00153016362363594
"3",236.929778723118,"211","nv",9,"NV35","ma",0.238916814234778
"3",260.064918291386,"211","nv",10,"NV35","ma",0.358411481326966
"4",210.011195214639,"211","nv",1,"NV214","ma",0.0998803858852794
"4",191.029884792332,"211","nv",2,"NV214","ma",0.00184054639375105
"4",181.158323704296,"211","nv",3,"NV214","ma",-0.0491467797217572
"4",176.771667412695,"211","nv",4,"NV214","ma",-0.0718041763484766
"4",174.052200805775,"211","nv",5,"NV214","ma",-0.0858504178203853
"4",165.583968832281,"211","nv",6,"NV214","ma",-0.129589447686457
"4",156.247952407428,"211","nv",7,"NV214","ma",-0.177810646930276
"4",145.882897053098,"211","nv",8,"NV214","ma",-0.231346906579933
"4",139.022701459618,"211","nv",9,"NV214","ma",-0.266780312382876
"4",136.513870035182,"211","nv",10,"NV214","ma",-0.279738607921521
"5",166.143594305348,"211","nv",1,"NV21","ma",-0.126698941692181
"5",186.755344517899,"211","nv",2,"NV21","ma",-0.0202377629053262
"5",184.294479502463,"211","nv",3,"NV21","ma",-0.0329483084765163
"5",183.037029637252,"211","nv",4,"NV21","ma",-0.0394431278652285
"5",186.368701325868,"211","nv",5,"NV21","ma",-0.0222348029222637
"5",188.687436120747,"211","nv",6,"NV21","ma",-0.0102583702073607
"5",186.730772152421,"211","nv",7,"NV21","ma",-0.0203646809480644
"5",182.722839214008,"211","nv",8,"NV21","ma",-0.0410659440975796
"5",181.468293328723,"211","nv",9,"NV21","ma",-0.0475457642201968
"5",182.033753095996,"211","nv",10,"NV21","ma",-0.0446251236748934
"6",194.942265383194,"211","nv",1,"NV44","ma",0.0220482747657155
"6",200.299805632974,"211","nv",2,"NV44","ma",0.0497203571705467
"6",199.789069255632,"211","nv",3,"NV44","ma",0.0470823668873152
"6",203.250098147715,"211","nv",4,"NV44","ma",0.0649588311306177
"6",170.318780614348,"211","nv",5,"NV44","ma",-0.105133802801639
"6",102.701777514713,"211","nv",6,"NV44","ma",-0.45438050828704
"6",101.58106752336,"211","nv",7,"NV44","ma",-0.460169056349543
"6",126.488092943975,"211","nv",8,"NV44","ma",-0.331522470833573
"6",199.196262192178,"211","nv",9,"NV44","ma",0.0440204755817392
"6",133.342844260787,"211","nv",10,"NV44","ma",-0.296117185112897
"7",151.954032876747,"211","nv",1,"NV35","ma",-0.199989051487779
"7",186.099880111184,"211","nv",2,"NV35","ma",-0.0236232839150453
"7",179.289631398622,"211","nv",3,"NV35","ma",-0.0587987104700193
"7",171.824977339873,"211","nv",4,"NV35","ma",-0.0973541879105827
"7",172.271068456608,"211","nv",5,"NV35","ma",-0.0950500950681875
"7",180.982946093742,"211","nv",6,"NV35","ma",-0.0500526177490922
"7",205.915498323337,"211","nv",7,"NV35","ma",0.0787258155792546
"7",253.796835875232,"211","nv",8,"NV35","ma",0.326036382857621
"7",257.917973760635,"211","nv",9,"NV35","ma",0.347322357735973
"7",256.103365370562,"211","nv",10,"NV35","ma",0.337949774318671
"8",221.022088011217,"211","nv",1,"NV415","ma",0.156752442577757
"8",195.708188029775,"211","nv",2,"NV415","ma",0.0260043205635544
"8",201.840556000687,"211","nv",3,"NV415","ma",0.057678444119572
"8",212.870358759065,"211","nv",4,"NV415","ma",0.11464817213075
"8",220.122302662139,"211","nv",5,"NV415","ma",0.152104986251624
"8",239.271212562942,"211","nv",6,"NV415","ma",0.251010489156534
"8",258.937698707875,"211","nv",7,"NV415","ma",0.352589310750735
"8",259.314641594394,"211","nv",8,"NV415","ma",0.354536247988975
"8",262.673187717237,"211","nv",9,"NV415","ma",0.371883381326064
"8",260.7986713058,"211","nv",10,"NV415","ma",0.362201368650817
"9",217.693999034724,"211","nv",1,"NV22","ma",0.139562622601711
"9",181.55769180823,"211","nv",2,"NV22","ma",-0.0470840146156281
"9",173.134321092194,"211","nv",3,"NV22","ma",-0.0905913328462689
"9",168.119155406322,"211","nv",4,"NV22","ma",-0.116495025896272
"9",164.107183966515,"211","nv",5,"NV22","ma",-0.137217148197219
"9",160.550408133203,"211","nv",6,"NV22","ma",-0.155588152308476
"9",154.633568065309,"211","nv",7,"NV22","ma",-0.186149058676234
"9",152.419226188584,"211","nv",8,"NV22","ma",-0.19758629442779
"9",151.270562375956,"211","nv",9,"NV22","ma",-0.20351922599649
"9",153.744060577973,"211","nv",10,"NV22","ma",-0.190743429104021
"10",175.682539742221,"211","nv",1,"NV21","ma",-0.0774295994422154
"10",186.956825542839,"211","nv",2,"NV21","ma",-0.0191970988570487
"10",184.129280742545,"211","nv",3,"NV21","ma",-0.0338015720050206
"10",184.827146932477,"211","nv",4,"NV21","ma",-0.0301970427219898
"10",188.461490009902,"211","nv",5,"NV21","ma",-0.0114253981916367
"10",188.28220246129,"211","nv",6,"NV21","ma",-0.0123514313314785
"10",185.141489275348,"211","nv",7,"NV21","ma",-0.0285734418137942
"10",176.014608698632,"211","nv",8,"NV21","ma",-0.0757144392945553
"10",153.008989403965,"211","nv",9,"NV21","ma",-0.194540124817396
"10",133.679127354176,"211","nv",10,"NV21","ma",-0.29438025864333
"11",163.928842359088,"211","nv",1,"NV214","ma",-0.138138295482513
"11",183.143120196632,"211","nv",2,"NV214","ma",-0.0388951624623255
"11",175.461641111561,"211","nv",3,"NV214","ma",-0.0785705568267134
"11",171.560041719784,"211","nv",4,"NV214","ma",-0.098722599526596
"11",169.097761057125,"211","nv",5,"NV214","ma",-0.111440457017958
"11",163.89749660553,"211","nv",6,"NV214","ma",-0.138300198563974
"11",157.612289913533,"211","nv",7,"NV214","ma",-0.170763745155066
"11",148.862351972597,"211","nv",8,"NV214","ma",-0.215957806692673
