focus_type,Odur,Vdur,Cdur,Rdur,Sylldur,Wdur,O1Hexc,Fallexc,Nucleusfallexc,H_N2exc,pd,Pd_rime,Falldur,Risedur,Hf0_Ef0,L1_Hexc,O1f0_Ef0,L1f0_Ef0,L2f0_Ef0,Risesp,Fallsp
bro,-0.118717543,-0.187849967,0.208563522,-0.037652493,-0.068125558,543,0.013704722,-0.022489781,-0.00754724,-0.002680192,-0.124185597,0.869318182,0.060297884,-0.26666294,0.02915598,-0.012766043,0.015451259,0.041922023,0.051645761,0.047873329,-0.372977945
bro,-0.079573073,0.095337592,-0.319185799,-0.076175761,-0.078256255,694,0.080876219,0.429211767,0.023182955,0.00524344,0.347778734,1.229813665,-0.416810654,0.655902092,-0.119401432,0.061341781,-0.200277651,-0.180743213,-0.548613199,0.093522771,-1.029752391
bro,-0.351640044,0.087389259,-0.034193436,0.038585577,-0.130855369,608,-0.060304692,0.025976902,-0.00293221,0.09133331,0.004307957,0.796407186,-0.077142442,0.033944191,0.10761722,0.029645453,0.167921911,0.077971767,0.081640318,0.873358647,-0.336739431
bro,-0.596631156,-0.10860122,0.436355589,0.080741921,-0.16125623,559,0.133047005,-0.003976451,0.02837918,-0.016325532,0.081414338,0.702380952,0.081741795,0.137030914,-0.189076216,0.057987518,-0.322123221,-0.247063734,-0.185099765,0.423171064,-0.048646486
bro,-0.470075971,-0.311197533,-0.213487071,-0.271879543,-0.327043598,535,-0.096939573,-0.024364862,-0.026914723,0.010178325,0.15967923,1.335714286,-0.298425136,0.268567518,-0.48951984,0.013036013,-0.392580266,-0.502555853,-0.465154978,0.048539052,0.081644806
bro,0.180262654,-0.255515835,-0.029932451,-0.175636893,-0.061424393,593,0.062937451,-0.059609942,-0.003487698,-0.049090892,-0.345237581,0.617647059,-0.109315343,0.048427094,0.449422502,0.010276543,0.386485051,0.439145959,0.509032444,0.212206474,0.545302608
bro,0.135548842,-0.08010755,-0.26711265,-0.163544876,-0.053171109,561,0.058092919,-0.024379612,-0.03482029,-0.065045355,-0.262144142,1.075862069,-0.115749342,-0.101207972,0.352171956,-0.032175471,0.294079037,0.384347427,0.376551568,0.317914394,0.210624196
bro,-0.609276238,-0.169913247,0.152934326,-0.058597324,-0.253615729,693,0.046867282,0.032804828,-0.016174141,0.00653604,0.04391891,0.916167665,-0.221680749,-0.348916762,0.040015759,-0.050717961,-0.006851524,0.09073372,0.007210931,0.145358338,-0.147982303
bro,0.004920797,0.000674285,0.15547285,0.045152165,0.033981713,499,-0.021954056,0.090184723,-0.007494938,0.023024194,0.049021339,0.687150838,0.13978398,0.104680281,-0.114137232,0.034011011,-0.092183176,-0.148148243,-0.204321955,0.324903702,0.645172095
bro,-0.109078066,-0.132159244,0.127225665,-0.031933507,-0.062852892,624,0.057746619,0.04182309,-0.01847739,-0.024515891,0.168763235,0.885542169,-0.053250353,0.256237704,0.033856424,0.026115106,-0.023890194,0.007741319,-0.007966666,0.101917498,-0.785404936
bro,0.458952071,0.022426615,-0.023526038,0.003452726,0.188799779,629,0.08278364,-0.066673858,-0.025785319,-0.061507088,0.126236032,1.24137931,-0.114222102,-0.058994445,-0.285299211,-0.037488634,-0.368082851,-0.247810577,-0.218625353,0.635460411,0.583721163
bro,-0.55786514,-0.310356023,-0.107953268,-0.225812392,-0.361811179,595,-0.070533559,-0.018293474,-0.005806665,0.004046124,-0.17531548,0.87755102,-0.140530161,-0.121663166,0.00594088,-0.013299675,0.076474439,0.019240555,0.024234354,0.10931554,0.130174714
bro,-0.079004551,0.139976053,0.389625886,0.265269496,0.134768401,678,0.029976261,0.060062395,0.042865408,0.048923967,-0.010333164,0.686363636,0.604036417,0.230348355,0.570571935,0.019083448,0.540595674,0.551488487,0.51050954,0.082846036,0.099435056
bro,0.044632576,0.06595981,-0.218815962,-0.048744761,-0.010504381,648,0.007699584,-0.036160772,-0.000833786,-0.023978533,-0.029487446,0.902857143,0.009783997,0.185205672,-0.296986536,-0.005355031,-0.304686121,-0.291631506,-0.260825764,-0.028913967,-3.695909814
bro,-0.326828533,-0.00797714,0.657512525,0.255071024,0.06430463,722,-0.056601903,0.098092274,-0.013321994,-0.036940535,0.330720615,0.646017699,0.245630881,0.162994411,0.037027137,-0.010726858,0.09362904,0.047753995,-0.061065137,-0.065811198,0.399348296
bro,0.088707666,0.028221689,0.222844933,0.091584997,0.091259656,672,-0.039167238,0.068408679,0.004358195,0.014576797,-0.066094512,0.639344262,0.324187731,0.084327226,-0.069634499,0.025216906,-0.030467261,-0.094851405,-0.138043178,0.299036355,0.211015633
cor,-0.573965668,0.085442555,-0.183080765,-0.022632279,-0.273214205,512,-0.073603153,-0.006924382,-0.018849096,-0.003757693,0.1440985,0.782894737,-0.203729018,-0.299257675,-0.140101836,-0.019984076,-0.066498683,-0.12011776,-0.133177454,0.066778826,0.033988198
cor,0.434827603,-0.01028123,0.002237086,-0.005364431,0.177772014,828,-0.054298593,0.165569226,-0.006768176,0.006235933,-0.009451585,0.891891892,0.158745685,0.426683379,-0.003717744,0.081876214,0.050580849,-0.085593957,-0.16928697,0.19188986,1.042984104
cor,0.390695147,0.100779568,0.218993099,0.143457133,0.226095401,610,0.081902088,-0.025401413,0.012778538,0.021292986,0.213576629,0.856287425,-0.201067827,-0.198956243,-0.21094401,-0.034471965,-0.292846097,-0.176472045,-0.185542597,0.17326405,0.126332558
cor,-0.137038798,0.019919291,-0.065011078,-0.013888676,-0.062564144,639,-0.085495476,-0.158106654,-0.01517275,-0.057922398,0.121080007,1,-0.115737934,0.382440056,-0.164274494,0.045359831,-0.078779018,-0.209634326,-0.00616784,0.118606382,1.366074618
cor,-0.47487017,0.156302644,-0.210893841,0.016784846,-0.165530612,584,-0.158697636,0.025905784,0.00364591,0.020755193,0.187205154,1.123655914,-0.018637528,-0.078824894,-0.023482131,-0.005233691,0.135215505,-0.01824844,-0.049387915,0.066396423,-1.389979662
cor,-0.528075847,-0.066736315,-0.059277363,-0.064749397,-0.271216883,554,-0.166376331,-0.068071807,0.007592782,-0.030205725,-0.380900518,0.539877301,0.219403714,-0.444807166,0.551746974,-0.016490548,0.718123305,0.568237522,0.619818782,0.037073477,-0.310258228
cor,-0.011075277,0.21076233,-0.140573016,0.069454039,0.035962561,578,0.042138232,0.005577531,-0.003087782,-0.053593335,0.137239215,0.877906977,-0.166052375,-0.315196059,-0.145794251,-0.020870238,-0.187932484,-0.124924013,-0.151371782,0.066213512,-0.033588987
cor,-0.407910922,0.027555534,-0.188321886,-0.047589609,-0.17823057,578,-0.109800233,-0.134958915,0.017964007,0.038307787,-0.046413782,0.702702703,-0.343315538,-0.364772434,-0.942286588,-0.109287481,-0.832486355,-0.832999106,-0.807327673,0.299604551,0.393104594
cor,-0.34635167,-0.370833866,0.081203671,-0.182312719,-0.227641979,589,0.043976652,0.121075912,0.048880168,0.02989615,0.294504337,1.32278481,0.458733423,0.341936722,0.55030693,0.087460423,0.506330278,0.462846507,0.429231018,0.255779557,0.263935231
cor,0.349726163,-0.040734408,-0.162965567,-0.084831424,0.057036937,715,0.101142633,0.088681938,0.022076181,0.008348897,-0.322285498,0.576719577,0.495768177,0.154086208,-0.042229478,0.05011692,-0.143372111,-0.092346398,-0.130911416,0.325252468,0.178877834
cor,-0.393813499,0.290389868,-0.16412946,0.092438408,-0.089424137,587,-0.142129528,0.03884632,-0.001046121,0.34227278,0.598480021,1.889473684,0.199930681,0.305189998,-0.400299711,-0.006949225,-0.258170183,-0.393350486,-0.439146031,-0.022770159,0.194298941
cor,-0.456502495,0.188397533,-0.249524427,0.037033509,-0.134942709,704,-0.043144663,-0.074847929,0.013661666,-0.038114324,-0.196245258,0.635869565,-0.033350201,-0.469232887,-0.049783698,-0.060630334,-0.006639035,0.010846636,0.025064232,0.129211604,2.244302179
cor,0.063970367,0.162502703,-0.128434094,0.080108679,0.076020945,564,0.092907415,0.037034397,-0.042581763,-0.032923183,0.385167661,0.881081081,0.049654608,0.063939847,-0.168738633,-0.038331189,-0.261646049,-0.130407444,-0.20577303,-0.599488284,0.745840086
cor,-0.258419849,-0.057086538,-0.317446562,-0.159667534,-0.199667558,562,-0.153802406,0.031678217,-0.024725934,-0.068181194,0.023118251,0.875,-0.0257663,-0.240020128,-0.060255724,-0.010561777,0.093546682,-0.049693947,-0.091933941,0.044003714,-1.22944377
cor,-0.341362057,0.127734199,-0.355658332,-0.072507253,-0.183803187,565,0.026299435,0.094856269,0.122809556,0.087204984,0.038961738,1.23880597,0.08905452,-0.015204754,0.057085389,0.089545191,0.030785954,-0.032459802,-0.03777088,-5.889289125,1.065148288
cor,0.134053071,0.105124636,-0.180144926,-0.017370184,0.04047252,742,0.013295881,0.00978349,-0.014575762,0.002743378,-0.003880222,0.834224599,0.059631493,0.059394617,0.00823904,-0.027136022,-0.005056841,0.035375062,-0.00154445,-0.456876795,0.16406582
cor,-0.217070757,0.229560727,-0.046908276,0.09382063,-0.025528816,709,-0.10220881,-0.166116298,-0.012117856,0.016999798,0.152822059,0.926315789,-0.224356383,-0.17506475,-0.174139379,-0.062224403,-0.071930569,-0.111914976,-0.008023082,0.355436506,0.74041262
cor,0.083443512,-0.031868223,0.141064098,0.037912592,0.057370083,697,0.022567823,-0.051665464,0.01124329,-0.022355643,0.08032787,0.921465969,-0.371791901,-0.317994644,-0.025957638,-0.012895493,-0.048525462,-0.013062145,0.025707826,0.040552548,0.138963393
