"subject","stimuli","response","isi","counter","response_rt","rating","rating_rt","percentage","sum"
115,"T315","M214","Low",4,1918.5,3.5,1754.5,0.142857142857143,28
115,"T315","M35","Low",24,1699.08333333333,5.38095238095238,1607,0.857142857142857,28
115,"T33","M51","Low",2,749.5,3.5,633.5,0.08,25
115,"T33","M55","Low",23,1740.08695652174,4.68181818181818,1992.95652173913,0.92,25
115,"T45","M35","Low",27,1625.18518518519,5.11538461538461,1921.03703703704,1,27
117,"T21","M214","High",5,577.4,5.8,1052.4,0.185185185185185,27
117,"T21","M51","High",22,593.681818181818,5.86363636363636,693.045454545455,0.814814814814815,27
117,"T241","M214","High",2,827,6,709.5,0.0740740740740741,27
117,"T241","M51","High",25,688.04,6.32,319.52,0.925925925925926,27
117,"T315","M214","High",10,680.8,5.6,992.5,0.37037037037037,27
117,"T315","M35","High",17,717,4.88235294117647,1100.88235294118,0.62962962962963,27
117,"T33","M214","High",7,692.857142857143,5.85714285714286,739.857142857143,0.269230769230769,26
117,"T33","M35","High",1,678,5,517,0.0384615384615385,26
117,"T33","M51","High",7,947.142857142857,5.71428571428571,1355.42857142857,0.269230769230769,26
117,"T33","M55","High",11,887.454545454545,5.09090909090909,852,0.423076923076923,26
117,"T45","M214","High",3,808.666666666667,6.33333333333333,246,0.107142857142857,28
117,"T45","M35","High",25,451.88,6.08,564.36,0.892857142857143,28
118,"T21","M51","High",28,309.857142857143,3.96428571428571,-718.892857142857,1,28
118,"T241","M51","High",24,372.125,5.375,-756.833333333333,0.857142857142857,28
118,"T241","M55","High",4,643,5.25,23.25,0.142857142857143,28
118,"T315","M214","High",3,300,5.66666666666667,-645,0.107142857142857,28
118,"T315","M35","High",25,354.92,4.24,-666.32,0.892857142857143,28
118,"T33","M51","High",11,276.090909090909,4.18181818181818,-881.636363636364,0.407407407407407,27
118,"T33","M55","High",16,378,4.375,-443.1875,0.592592592592593,27
118,"T45","M35","High",28,410.321428571429,5.78571428571429,-675.535714285714,1,28
119,"T21","M214","Low",13,710,2.76923076923077,623.769230769231,0.464285714285714,28
119,"T21","M51","Low",15,830.066666666667,5.13333333333333,485.866666666667,0.535714285714286,28
119,"T241","M51","Low",28,624.892857142857,6.88888888888889,7.89285714285714,1,28
119,"T315","M35","Low",28,802,5.57142857142857,482.821428571429,1,28
119,"T33","M51","Low",27,947.148148148148,6,526.814814814815,1,27
119,"T45","M35","Low",28,772.357142857143,5.39285714285714,362.607142857143,1,28
